amp1,x01,w1,y0
14.39,500.19,16.95,-0.31
18.69,501.92,17.17,0.04
19.86,500.41,16.71,-0.11
11.67,495.71,15.93,0.1
13.02,495.3,16.0,0.02
18.23,496.48,15.85,-0.11
20.04,494.97,14.87,0.04
15.5,497.04,16.4,-0.11
10.38,501.33,19.21,-0.22
5.35,505.38,19.96,0.06
4.39,497.84,18.57,0.01
6.55,502.54,22.1,-0.38
7.57,506.55,25.47,0.19
7.21,500.3,21.78,-0.24
8.42,492.68,15.61,-0.15
15.97,494.18,14.06,-0.25
25.77,494.78,13.28,0.25
22.79,494.96,14.2,-0.0
18.84,495.22,14.17,-0.1
14.81,496.86,15.05,0.05
6.94,495.12,17.05,-0.25
4.03,491.53,16.85,-0.11
7.08,492.8,16.56,-0.24
9.62,494.73,17.2,0.1
7.33,493.39,16.4,-0.04
7.16,493.67,14.73,-0.02
15.19,495.97,13.25,-0.16
16.96,497.62,13.45,-0.23
13.04,497.96,15.05,-0.06
10.64,494.78,15.1,0.12
12.19,492.78,15.31,-0.09
15.38,494.03,15.68,0.01
15.91,495.44,16.64,-0.09
24.45,497.15,14.45,-0.03
31.3,496.99,13.15,0.18
17.46,494.99,13.91,0.2
9.47,493.61,15.95,0.09
10.6,496.31,18.46,0.15
13.26,497.44,17.09,-0.07
12.34,497.69,16.48,-0.26
11.6,494.1,14.45,-0.35
15.27,495.31,15.94,-0.1
16.59,496.22,15.96,-0.06
13.4,495.54,16.57,-0.2
13.59,494.49,14.85,-0.08
15.84,494.02,13.31,0.06
11.94,492.84,13.06,0.03
4.19,493.13,14.56,-0.02
1.98,496.56,22.34,0.01
1.32,489.94,24.56,-0.09
2.09,489.18,19.49,-0.08
3.02,497.1,20.31,0.02
4.61,494.44,17.19,-0.03
4.45,492.68,17.89,-0.16
5.93,490.03,16.4,-0.32
10.86,493.94,15.7,0.2
15.78,496.18,14.32,0.09
16.2,495.13,14.7,-0.05
14.63,495.55,15.19,0.04
13.32,495.49,15.69,-0.23
12.35,493.97,14.9,-0.17
10.72,493.79,14.88,0.13
12.52,495.96,16.07,-0.07
19.0,498.62,17.01,-0.12
23.65,497.39,15.56,-0.17
18.16,494.35,13.91,0.19
9.53,496.46,16.52,-0.18
8.78,499.95,18.85,0.05
6.99,497.24,20.11,-0.06
8.32,498.71,19.18,-0.02
15.05,501.41,17.93,0.1
16.23,502.83,17.99,0.01
9.09,501.81,19.2,-0.0
6.75,497.76,18.82,-0.15
6.33,495.84,18.41,-0.17
6.63,496.6,17.79,-0.26
9.85,496.83,17.23,0.02
12.81,496.71,17.44,-0.05
16.5,495.44,16.3,-0.03
17.54,495.76,15.91,-0.03
15.58,496.54,15.85,0.1
12.34,494.63,15.76,0.08
7.04,494.02,17.48,-0.23
7.65,496.87,16.94,-0.02
12.27,497.93,16.36,-0.23
16.22,499.09,16.77,0.09
12.94,499.51,18.43,0.01
8.81,497.66,18.57,-0.05
10.28,494.78,16.89,0.03
12.08,496.3,17.97,-0.08
11.55,498.18,18.3,-0.22
10.87,493.09,15.58,0.07
10.89,493.39,16.62,-0.17
13.4,494.6,15.52,0.22
14.17,496.53,15.48,0.12
10.32,498.84,17.58,-0.13
10.38,499.55,17.14,0.09
10.76,502.43,17.72,-0.07
8.1,500.72,17.86,-0.06
9.74,497.79,17.07,-0.18
12.24,498.21,16.58,0.13
12.01,498.5,17.12,-0.09
8.78,496.52,17.3,-0.15
9.23,493.19,14.65,-0.3
17.11,495.93,14.55,-0.07
20.95,496.54,14.65,-0.28
19.68,493.44,13.5,0.05
11.7,494.46,14.57,-0.02
5.74,499.92,21.61,-0.21
5.34,497.95,18.55,-0.06
8.85,496.76,17.56,-0.09
12.51,500.32,18.79,-0.23
12.74,501.83,21.33,0.05
14.43,496.86,16.54,0.05
15.28,496.06,16.03,0.04
24.91,496.56,14.39,0.15
30.23,495.87,13.26,0.2
22.1,494.84,13.57,0.05
16.08,495.0,14.6,-0.06
11.41,494.47,14.42,0.06
4.4,493.15,17.93,-0.14
3.29,489.54,17.17,0.21
5.96,496.18,18.75,0.03
7.93,497.49,17.71,-0.34
6.98,496.23,16.51,0.05
11.1,496.68,15.71,-0.13
19.64,500.32,17.48,-0.16
22.89,499.1,15.32,-0.0
28.01,497.44,13.88,-0.2
24.42,495.9,14.09,0.13
20.75,495.26,14.01,-0.12
22.38,495.53,14.14,0.11
17.86,496.29,16.01,0.08
20.5,497.66,15.35,0.03
20.36,496.72,14.19,-0.23
10.08,495.48,16.23,-0.17
7.33,493.59,15.83,-0.03
10.81,494.86,15.08,-0.02
14.96,496.94,15.44,0.05
15.98,497.62,14.14,-0.1
11.26,496.52,14.37,0.08
7.84,493.6,17.08,-0.04
8.59,491.66,15.94,-0.24
11.14,493.47,14.91,-0.19
15.73,492.76,13.49,0.21
18.88,491.52,11.75,0.16
10.45,491.43,12.43,-0.2
3.5,492.74,18.67,-0.09
1.94,490.3,16.26,-0.03
1.31,487.0,23.72,-0.01
3.05,487.32,14.16,-0.22
4.57,492.33,14.97,-0.01
7.28,494.5,15.08,0.04
7.02,495.55,16.89,-0.1
6.33,494.36,17.0,-0.09
8.34,494.81,15.64,-0.03
12.12,494.93,14.2,-0.16
11.5,493.71,14.42,-0.11
10.34,493.73,14.89,-0.08
11.63,494.15,15.35,0.2
12.47,495.28,14.99,-0.26
11.1,493.26,14.02,0.01
12.19,497.7,17.5,0.18
19.67,500.33,18.17,-0.03
22.42,499.61,16.7,-0.02
14.01,496.97,15.77,-0.02
9.54,498.45,17.29,-0.26
8.6,500.44,20.22,0.09
6.18,498.42,19.78,-0.14
5.96,500.24,23.43,0.19
9.73,499.57,19.16,-0.2
9.15,502.15,18.98,-0.09
5.42,500.44,21.24,-0.11
5.46,497.31,20.42,0.05
7.79,497.51,17.15,-0.04
11.27,498.03,16.22,-0.04
13.44,498.78,16.46,-0.13
14.27,496.93,17.79,-0.05
20.7,495.2,15.46,0.02
21.32,496.2,15.67,-0.06
15.07,495.82,16.23,0.01
11.0,493.99,15.36,0.05
5.13,493.41,17.52,-0.02
4.48,491.97,15.84,-0.02
7.63,495.87,16.22,0.0
12.42,495.93,15.51,-0.02
13.47,495.55,15.77,0.02
13.58,496.58,16.34,-0.05
13.59,495.65,16.06,-0.05
13.86,494.5,16.15,-0.07
13.54,495.64,16.53,0.02
13.32,495.4,14.82,0.08
5.78,493.89,15.86,0.16
4.72,494.49,20.8,0.09
4.2,491.87,17.6,-0.19
2.78,489.85,18.56,-0.14
3.33,492.01,19.05,-0.1
4.19,495.03,21.33,-0.04
